country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid
Montenegro,wind,50.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,wind,100.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,wind,250.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,wind,500.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,wind,1000.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,wind,1500.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Montenegro,wind,2000.0,14151.5411049103,621383.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.2839455441019487,1.288024905245277,0.0,0.0,0.0,0.5,123.82598466796512,0.0,0.0
Morocco,earthquake,20.0,6967.259245878558,33008150.0,0.60195,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.75,0.26925696721882303,20.0,0.1511730525495105,1.1976775268130286,41.399514470630066,0.006730715019454941,0.0004517549685824812,0.06666666666666671,261.272221720446,27.727786957160927,18.023061522154602
Morocco,earthquake,50.0,6967.259245878558,33008150.0,0.60195,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.75,0.26925696721882303,20.0,0.1511730525495105,1.1976775268130286,89.22573919619064,0.014506281791198743,0.0009813207683396744,0.06666666666666671,261.272221720446,59.75993484856743,38.84395765156883
Morocco,earthquake,100.0,6967.259245878558,33008150.0,0.60195,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.75,0.26925696721882303,20.0,0.1511730525495105,1.1976775268130286,146.095359994163,0.02375211995500546,0.0016220006168864104,0.06666666666666671,261.272221720446,97.84899821039451,63.601848836756425
