province,income_cat,n,c,social,axfin,gamma_SP,k,fa,v,shew
Nueva Vizcaya,poor,0.150795,77.16578224488461,0.11149138493419646,0.0353108,0.21598913892885785,305.71304723072626,0.4476979917287556,0.14654180558279403,0.059031182584820555
Occidental Mindoro,nonpoor,0.7022372,229.90789755032412,0.14605282632944397,0.22188520000000003,1.2487868231519632,841.0072895541047,0.21579734614581952,0.1609457523029683,0.14415557830092127
Occidental Mindoro,poor,0.2977628,72.34070038622465,0.15361131586632637,0.0353108,0.4132666602841932,262.28135719130705,0.2152712109748985,0.23140328290955905,0.1334084325716125
Oriental Mindoro,nonpoor,0.7846915,207.5621342532751,0.2366695102841177,0.22188520000000003,1.1821346126252257,752.959529409746,0.27610147475267033,0.1384328384279476,0.1256593886462882
Oriental Mindoro,poor,0.2153085,78.7653092534121,0.17737811335958745,0.0353108,0.3362106819618956,307.9258431666685,0.27588372787886856,0.2456113770625382,0.09609900183336734
Palawan,nonpoor,0.7952629,215.46470306583674,0.18120938023222233,0.22188520000000003,1.1763563828578578,784.134110801925,0.010857975807596183,0.20044364016871805,0.15849146161231517
Palawan,poor,0.2047371,74.5974588937775,0.14014327451761344,0.0353108,0.31497667757797515,285.0962330655829,0.010789190108477181,0.26593756547244923,0.054871150219987445
Pampanga,nonpoor,0.9455652999999999,312.38010583417883,0.271894777607589,0.22188520000000003,1.047015773070632,1137.056977021383,0.39241846139916475,0.11031127342988921,0.2223176642264954
Pampanga,poor,0.0544347,112.66825172910157,0.1319795186072831,0.0353108,0.1833061710955678,488.9182422582738,0.3922414971339561,0.18592844854825688,0.07035775725871572
Pangasinan,nonpoor,0.8512403,201.3999616118234,0.2567798026250148,0.22188520000000003,1.1311087046087003,726.710739999776,0.5641400397764386,0.1259202016142963,0.08907904378674124
Pangasinan,poor,0.1487597,90.23663691225589,0.12654975576080477,0.0353108,0.24976312103532627,382.6535646803598,0.5636448656134874,0.1670306631012704,0.04912131017906752
Quezon,nonpoor,0.7968431,176.91963236262086,0.2059395565160699,0.22188520000000003,1.1819604847814595,637.7586218188239,0.3834142060836919,0.1430292622278082,0.213278653444535
Quezon,poor,0.2031569,83.96952883992223,0.10510077668332883,0.0353108,0.2862956819543856,341.1321063157912,0.38282094291813773,0.2075481019517015,0.13753280282183947
Quirino,nonpoor,0.8453339,210.81016756073586,0.13840235739817902,0.22188520000000003,1.1480708614416877,763.112896056541,0.5379583958835159,0.10600617890745681,0.07706782755231004
